"Clase1","Clase2","tick","run","random_seed"
17027.0838689,3646.3617358999995,1.0,1,1852972689
56296.21650100001,12055.873531000001,1.0,1,1852972689
2332.84460122,499.58027782,1.0,1,1852972689
4068.9163886,871.3612466,1.0,1,1852972689
8512.3319792,1822.9217552,1.0,1,1852972689
5462.1305165,1169.7190114999999,1.0,1,1852972689
13081.4870081,2801.4094511,1.0,1,1852972689
10455.4138346,2239.0340726,1.0,1,1852972689
6894.9123103,1476.5502193,1.0,1,1852972689
24498.4751459,5246.365322899999,1.0,1,1852972689
17027.0838689,3646.3617358999995,2.0,1,1852972689
56296.21650100001,12055.873531000001,2.0,1,1852972689
2332.84460122,499.58027782,2.0,1,1852972689
4068.9163886,871.3612466,2.0,1,1852972689
8512.3319792,1822.9217552,2.0,1,1852972689
5462.1305165,1169.7190114999999,2.0,1,1852972689
13081.4870081,2801.4094511,2.0,1,1852972689
10455.4138346,2239.0340726,2.0,1,1852972689
6894.9123103,1476.5502193,2.0,1,1852972689
24498.4751459,5246.365322899999,2.0,1,1852972689
17027.0838689,3646.3617358999995,3.0,1,1852972689
56296.21650100001,12055.873531000001,3.0,1,1852972689
2332.84460122,499.58027782,3.0,1,1852972689
4068.9163886,871.3612466,3.0,1,1852972689
8512.3319792,1822.9217552,3.0,1,1852972689
5462.1305165,1169.7190114999999,3.0,1,1852972689
13081.4870081,2801.4094511,3.0,1,1852972689
10455.4138346,2239.0340726,3.0,1,1852972689
6894.9123103,1476.5502193,3.0,1,1852972689
24498.4751459,5246.365322899999,3.0,1,1852972689
